(1, 1, 1),0,[0, 10000, 0.0]
(1, 1, 1),1,[-150084, 10000, -15.0084]
(1, 1, 1),2,[-148842, 10000, -14.8842]
(1, 1, 1),3,[87354, 10000, 8.7354]
(1, 1, 1),4,[-149670, 10000, -14.967]
(1, 1, 1),5,[91040, 10000, 9.104]
(1, 1, 1),6,[90180, 10000, 9.018]
(1, 1, 1),7,[80723, 10000, 8.0723]
(1, 1, 2),0,[0, 10000, 0.0]
(1, 1, 2),1,[317590, 10000, 31.759]
(1, 1, 2),2,[318252, 10000, 31.8252]
(1, 1, 2),3,[264002, 10000, 26.4002]
(1, 1, 2),4,[29466, 10000, 2.9466]
(1, 1, 2),5,[267534, 10000, 26.7534]
(1, 1, 2),6,[269102, 10000, 26.9102]
(1, 1, 2),7,[263709, 10000, 26.3709]
(1, 1, 3),0,[0, 10000, 0.0]
(1, 1, 3),1,[316420, 10000, 31.642]
(1, 1, 3),2,[314944, 10000, 31.4944]
(1, 1, 3),3,[266738, 10000, 26.6738]
(1, 1, 3),4,[29862, 10000, 2.9862]
(1, 1, 3),5,[271208, 10000, 27.1208]
(1, 1, 3),6,[265942, 10000, 26.5942]
(1, 1, 3),7,[266140, 10000, 26.614]
(1, 1, 4),0,[0, 10000, 0.0]
(1, 1, 4),1,[312538, 10000, 31.2538]
(1, 1, 4),2,[318008, 10000, 31.8008]
(1, 1, 4),3,[262738, 10000, 26.2738]
(1, 1, 4),4,[30186, 10000, 3.0186]
(1, 1, 4),5,[271634, 10000, 27.1634]
(1, 1, 4),6,[272470, 10000, 27.247]
(1, 1, 4),7,[263939, 10000, 26.3939]
(1, 1, 5),0,[0, 10000, 0.0]
(1, 1, 5),1,[316496, 10000, 31.6496]
(1, 1, 5),2,[318352, 10000, 31.8352]
(1, 1, 5),3,[260691, 10000, 26.0691]
(1, 1, 5),4,[29970, 10000, 2.997]
(1, 1, 5),5,[269588, 10000, 26.9588]
(1, 1, 5),6,[268350, 10000, 26.835]
(1, 1, 5),7,[261172, 10000, 26.1172]
(1, 1, 6),0,[0, 10000, 0.0]
(1, 1, 6),1,[314382, 10000, 31.4382]
(1, 1, 6),2,[322474, 10000, 32.2474]
(1, 1, 6),3,[259702, 10000, 25.9702]
(1, 1, 6),4,[30546, 10000, 3.0546]
(1, 1, 6),5,[269700, 10000, 26.97]
(1, 1, 6),6,[266876, 10000, 26.6876]
(1, 1, 6),7,[263698, 10000, 26.3698]
(1, 2, 2),0,[0, 10000, 0.0]
(1, 2, 2),1,[24375, 10000, 2.4375]
(1, 2, 2),2,[340338, 10000, 34.0338]
(1, 2, 2),3,[284898, 10000, 28.4898]
(1, 2, 2),4,[341432, 10000, 34.1432]
(1, 2, 2),5,[279946, 10000, 27.9946]
(1, 2, 2),6,[288618, 10000, 28.8618]
(1, 2, 2),7,[281892, 10000, 28.1892]
(1, 2, 3),0,[0, 10000, 0.0]
(1, 2, 3),1,[-169850, 10000, -16.985]
(1, 2, 3),2,[-165916, 10000, -16.5916]
(1, 2, 3),3,[-214111, 10000, -21.4111]
(1, 2, 3),4,[-165078, 10000, -16.5078]
(1, 2, 3),5,[-217204, 10000, -21.7204]
(1, 2, 3),6,[-210242, 10000, -21.0242]
(1, 2, 3),7,[-211503, 10000, -21.1503]
(1, 2, 4),0,[0, 10000, 0.0]
(1, 2, 4),1,[-166850, 10000, -16.685]
(1, 2, 4),2,[-162510, 10000, -16.251]
(1, 2, 4),3,[-217820, 10000, -21.782]
(1, 2, 4),4,[-163102, 10000, -16.3102]
(1, 2, 4),5,[-217898, 10000, -21.7898]
(1, 2, 4),6,[-211346, 10000, -21.1346]
(1, 2, 4),7,[-215156, 10000, -21.5156]
(1, 2, 5),0,[0, 10000, 0.0]
(1, 2, 5),1,[-163350, 10000, -16.335]
(1, 2, 5),2,[-164162, 10000, -16.4162]
(1, 2, 5),3,[-215962, 10000, -21.5962]
(1, 2, 5),4,[-160668, 10000, -16.0668]
