(1, 1),0,[0, 11000, 0.0]
(1, 1),1,[440832, 11000, 40.07563636363636]
(1, 1),2,[438960, 11000, 39.905454545454546]
(1, 1),3,[439610, 11000, 39.96454545454545]
(1, 2),0,[0, 11000, 0.0]
(1, 2),1,[-89400, 11000, -8.127272727272727]
(1, 2),2,[-88560, 11000, -8.05090909090909]
(1, 2),3,[-89582, 11000, -8.143818181818181]
(1, 3),0,[0, 11000, 0.0]
(1, 3),1,[-89600, 11000, -8.145454545454545]
(1, 3),2,[-87840, 11000, -7.985454545454545]
(1, 3),3,[-90820, 11000, -8.256363636363636]
(1, 4),0,[0, 11000, 0.0]
(1, 4),1,[-93650, 11000, -8.513636363636364]
(1, 4),2,[-90528, 11000, -8.229818181818182]
(1, 4),3,[-90284, 11000, -8.207636363636365]
(1, 5),0,[0, 11000, 0.0]
(1, 5),1,[-90350, 11000, -8.213636363636363]
(1, 5),2,[-86976, 11000, -7.906909090909091]
(1, 5),3,[-92778, 11000, -8.434363636363637]
(1, 6),0,[0, 11000, 0.0]
(1, 6),1,[-89800, 11000, -8.163636363636364]
(1, 6),2,[-86160, 11000, -7.832727272727273]
(1, 6),3,[-88468, 11000, -8.042545454545454]
(2, 2),0,[0, 11000, 0.0]
(2, 2),1,[455750, 11000, 41.43181818181818]
(2, 2),2,[460050, 11000, 41.82272727272727]
(2, 2),3,[458628, 11000, 41.69345454545454]
(2, 3),0,[0, 11000, 0.0]
(2, 3),1,[-92350, 11000, -8.395454545454545]
(2, 3),2,[-90800, 11000, -8.254545454545454]
(2, 3),3,[-89804, 11000, -8.164]
(2, 4),0,[0, 11000, 0.0]
(2, 4),1,[-94600, 11000, -8.6]
(2, 4),2,[-90500, 11000, -8.227272727272727]
(2, 4),3,[-89434, 11000, -8.130363636363636]
(2, 5),0,[0, 11000, 0.0]
(2, 5),1,[-91850, 11000, -8.35]
(2, 5),2,[-89000, 11000, -8.090909090909092]
(2, 5),3,[-95460, 11000, -8.678181818181818]
(2, 6),0,[0, 11000, 0.0]
(2, 6),1,[-93150, 11000, -8.468181818181819]
(2, 6),2,[-94100, 11000, -8.554545454545455]
(2, 6),3,[-90210, 11000, -8.200909090909091]
(3, 3),0,[0, 11000, 0.0]
(3, 3),1,[459300, 11000, 41.75454545454546]
(3, 3),2,[461050, 11000, 41.913636363636364]
(3, 3),3,[457282, 11000, 41.571090909090906]
(3, 4),0,[0, 11000, 0.0]
(3, 4),1,[-92450, 11000, -8.404545454545454]
(3, 4),2,[-93950, 11000, -8.540909090909091]
(3, 4),3,[-91630, 11000, -8.33]
(3, 5),0,[0, 11000, 0.0]
(3, 5),1,[-94350, 11000, -8.577272727272728]
(3, 5),2,[-93950, 11000, -8.540909090909091]
(3, 5),3,[-88892, 11000, -8.081090909090909]
(3, 6),0,[0, 11000, 0.0]
(3, 6),1,[-89200, 11000, -8.10909090909091]
(3, 6),2,[-87950, 11000, -7.995454545454545]
(3, 6),3,[-89614, 11000, -8.146727272727272]
(4, 4),0,[0, 11000, 0.0]
(4, 4),1,[458050, 11000, 41.64090909090909]
(4, 4),2,[456450, 11000, 41.49545454545454]
(4, 4),3,[460302, 11000, 41.845636363636366]
(4, 5),0,[0, 11000, 0.0]
(4, 5),1,[-91950, 11000, -8.35909090909091]
(4, 5),2,[-91900, 11000, -8.354545454545455]
(4, 5),3,[-91966, 11000, -8.360545454545454]
(4, 6),0,[0, 11000, 0.0]
(4, 6),1,[-92600, 11000, -8.418181818181818]
(4, 6),2,[-95950, 11000, -8.722727272727273]
(4, 6),3,[-89620, 11000, -8.147272727272727]
(5, 5),0,[0, 11000, 0.0]
(5, 5),1,[457300, 11000, 41.57272727272727]
(5, 5),2,[456600, 11000, 41.50909090909091]
(5, 5),3,[457824, 11000, 41.620363636363635]
(5, 6),0,[0, 11000, 0.0]
(5, 6),1,[-92600, 11000, -8.418181818181818]
(5, 6),2,[-92250, 11000, -8.386363636363637]
(5, 6),3,[-89770, 11000, -8.16090909090909]
(6, 6),0,[0, 11000, 0.0]
(6, 6),1,[458750, 11000, 41.70454545454545]
(6, 6),2,[460100, 11000, 41.82727272727273]
(6, 6),3,[455964, 11000, 41.45127272727273]e2
