(1, 1, 1, 1),0,[0, 10000, 0.0]
(1, 1, 1, 1),1,[-207950, 10000, -20.795]
(1, 1, 1, 1),2,[-208225, 10000, -20.8225]
(1, 1, 1, 1),3,[-356373, 10000, -35.6373]
(1, 1, 1, 1),4,[-207900, 10000, -20.79]
(1, 1, 1, 1),5,[-356821, 10000, -35.6821]
(1, 1, 1, 1),6,[-357700, 10000, -35.77]
(1, 1, 1, 1),7,[-277282, 10000, -27.7282]
(1, 1, 1, 1),8,[-207275, 10000, -20.7275]
(1, 1, 1, 1),9,[-356747, 10000, -35.6747]
(1, 1, 1, 1),10,[-355348, 10000, -35.5348]
(1, 1, 1, 1),11,[-276684, 10000, -27.6684]
(1, 1, 1, 1),12,[-357109, 10000, -35.7109]
(1, 1, 1, 1),13,[-276410, 10000, -27.641]
(1, 1, 1, 1),14,[-282653, 10000, -28.2653]
(1, 1, 1, 1),15,[-283897, 10000, -28.3897]
(1, 1, 1, 2),0,[0, 10000, 0.0]
(1, 1, 1, 2),1,[-137836, 10000, -13.7836]
(1, 1, 1, 2),2,[-137398, 10000, -13.7398]
(1, 1, 1, 2),3,[-12362, 10000, -1.2362]
(1, 1, 1, 2),4,[-136832, 10000, -13.6832]
(1, 1, 1, 2),5,[-11501, 10000, -1.1501]
(1, 1, 1, 2),6,[-17029, 10000, -1.7029]
(1, 1, 1, 2),7,[-38394, 10000, -3.8394]
(1, 1, 1, 2),8,[39975, 10000, 3.9975]
(1, 1, 1, 2),9,[-106470, 10000, -10.647]
(1, 1, 1, 2),10,[-108367, 10000, -10.8367]
(1, 1, 1, 2),11,[-30384, 10000, -3.0384]
(1, 1, 1, 2),12,[-107533, 10000, -10.7533]
(1, 1, 1, 2),13,[-29213, 10000, -2.9213]
(1, 1, 1, 2),14,[-30213, 10000, -3.0213]
(1, 1, 1, 2),15,[-32521, 10000, -3.2521]
(1, 1, 1, 3),0,[0, 10000, 0.0]
(1, 1, 1, 3),1,[-135836, 10000, -13.5836]
(1, 1, 1, 3),2,[-137090, 10000, -13.709]
(1, 1, 1, 3),3,[-16069, 10000, -1.6069]
(1, 1, 1, 3),4,[-136942, 10000, -13.6942]
(1, 1, 1, 3),5,[-15446, 10000, -1.5446]
(1, 1, 1, 3),6,[-11607, 10000, -1.1607]
(1, 1, 1, 3),7,[-35600, 10000, -3.56]
(1, 1, 1, 3),8,[40800, 10000, 4.08]
(1, 1, 1, 3),9,[-106555, 10000, -10.6555]
(1, 1, 1, 3),10,[-108537, 10000, -10.8537]
(1, 1, 1, 3),11,[-28404, 10000, -2.8404]
(1, 1, 1, 3),12,[-106031, 10000, -10.6031]
(1, 1, 1, 3),13,[-32565, 10000, -3.2565]
(1, 1, 1, 3),14,[-30779, 10000, -3.0779]
(1, 1, 1, 3),15,[-33852, 10000, -3.3852]
(1, 1, 1, 4),0,[0, 10000, 0.0]
(1, 1, 1, 4),1,[-137152, 10000, -13.7152]
(1, 1, 1, 4),2,[-135888, 10000, -13.5888]
(1, 1, 1, 4),3,[-12810, 10000, -1.281]
(1, 1, 1, 4),4,[-136920, 10000, -13.692]
(1, 1, 1, 4),5,[-16134, 10000, -1.6134]
(1, 1, 1, 4),6,[-9467, 10000, -0.9467]
(1, 1, 1, 4),7,[-39796, 10000, -3.9796]
(1, 1, 1, 4),8,[41475, 10000, 4.1475]
(1, 1, 1, 4),9,[-107472, 10000, -10.7472]
(1, 1, 1, 4),10,[-105358, 10000, -10.5358]
(1, 1, 1, 4),11,[-31875, 10000, -3.1875]
(1, 1, 1, 4),12,[-105424, 10000, -10.5424]
(1, 1, 1, 4),13,[-30829, 10000, -3.0829]
(1, 1, 1, 4),14,[-32574, 10000, -3.2574]
(1, 1, 1, 4),15,[-37872, 10000, -3.7872]
(1, 1, 1, 5),0,[0, 10000, 0.0]
(1, 1, 1, 5),1,[-136706, 10000, -13.6706]
(1, 1, 1, 5),2,[-136648, 10000, -13.6648]
(1, 1, 1, 5),3,[-15728, 10000, -1.5728]
(1, 1, 1, 5),4,[-136384, 10000, -13.6384]
(1, 1, 1, 5),5,[-15305, 10000, -1.5305]
(1, 1, 1, 5),6,[-12292, 10000, -1.2292]
(1, 1, 1, 5),7,[-39633, 10000, -3.9633]
(1, 1, 1, 5),8,[41600, 10000, 4.16]
(1, 1, 1, 5),9,[-107445, 10000, -10.7445]
(1, 1, 1, 5),10,[-107591, 10000, -10.7591]
(1, 1, 1, 5),11,[-30841, 10000, -3.0841]
(1, 1, 1, 5),12,[-106901, 10000, -10.6901]
(1, 1, 1, 5),13,[-28528, 10000, -2.8528]
(1, 1, 1, 5),14,[-23685, 10000, -2.3685]
(1, 1, 1, 5),15,[-35564, 10000, -3.5564]
(1, 1, 1, 6),0,[0, 10000, 0.0]
(1, 1, 1, 6),1,[-135806, 10000, -13.5806]
(1, 1, 1, 6),2,[-135674, 10000, -13.5674]
(1, 1, 1, 6),3,[-13964, 10000, -1.3964]
(1, 1, 1, 6),4,[-136900, 10000, -13.69]
(1, 1, 1, 6),5,[-14932, 10000, -1.4932]
(1, 1, 1, 6),6,[-17231, 10000, -1.7231]
(1, 1, 1, 6),7,[-42372, 10000, -4.2372]
(1, 1, 1, 6),8,[41825, 10000, 4.1825]
(1, 1, 1, 6),9,[-106940, 10000, -10.694]
(1, 1, 1, 6),10,[-107168, 10000, -10.7168]
(1, 1, 1, 6),11,[-31815, 10000, -3.1815]
(1, 1, 1, 6),12,[-107585, 10000, -10.7585]
(1, 1, 1, 6),13,[-28285, 10000, -2.8285]
(1, 1, 1, 6),14,[-29038, 10000, -2.9038]
(1, 1, 1, 6),15,[-39635, 10000, -3.9635]
(1, 1, 2, 2),0,[0, 10000, 0.0]
(1, 1, 2, 2),1,[-56615, 10000, -5.6615]
(1, 1, 2, 2),2,[-58385, 10000, -5.8385]
(1, 1, 2, 2),3,[-38785, 10000, -3.8785]
(1, 1, 2, 2),4,[-37674, 10000, -3.7674]
(1, 1, 2, 2),5,[87181, 10000, 8.7181]
(1, 1, 2, 2),6,[90284, 10000, 9.0284]
(1, 1, 2, 2),7,[59633, 10000, 5.9633]
(1, 1, 2, 2),8,[-37126, 10000, -3.7126]
(1, 1, 2, 2),9,[86183, 10000, 8.6183]
(1, 1, 2, 2),10,[86964, 10000, 8.6964]
(1, 1, 2, 2),11,[57083, 10000, 5.7083]
(1, 1, 2, 2),12,[-8255, 10000, -0.8255]
(1, 1, 2, 2),13,[69492, 10000, 6.9492]
(1, 1, 2, 2),14,[68991, 10000, 6.8991]
